,id,name,state
0,5882,GUMPOLDSKIRCHEN,Niederösterreich
1,13401,KAPFENBERG-FLUGFELD,Steiermark
2,2117,HORN -  WASSERWERK,Niederösterreich
3,8807,ACHENKIRCH,Tirol
4,16906,GASCHURN,Vorarlberg
5,20209,KLAGENFURT/HTL1-LASTENSTRASSE,Kärnten
6,1416,ROHRBACH,Oberösterreich
7,7956,ANDAU,Burgenland
8,500,LITSCHAU,Niederösterreich
9,501,LITSCHAU,Niederösterreich
10,504,LITSCHAU,Niederösterreich
11,600,PFAFFENSCHLAG,Niederösterreich
12,610,MEIRES,Niederösterreich
13,700,JAPONS,Niederösterreich
14,710,SCHOENFELD,Niederösterreich
15,726,RAABS/THAYA,Niederösterreich
16,900,RETZ,Niederösterreich
17,901,RETZ,Niederösterreich
18,905,RETZ/WINDMUEHLE,Niederösterreich
19,910,UNTERRETZBACH,Niederösterreich
20,1210,PASSAU-OBERHAUS,Oberösterreich
21,1400,KOLLERSCHLAG,Oberösterreich
22,1410,ROHRBACH,Oberösterreich
23,1415,ROHRBACH,Oberösterreich
24,1600,FREISTADT,Oberösterreich
25,1601,FREISTADT,Oberösterreich
26,1602,FREISTADT,Oberösterreich
27,1700,KARLSTIFT,Niederösterreich
28,1701,KARLSTIFT/STADLBERG,Niederösterreich
29,1710,LIEBENAU,Oberösterreich
30,1800,WEITRA,Niederösterreich
31,1802,WEITRA,Niederösterreich
32,1900,SCHWARZENAU,Niederösterreich
33,1901,SCHWARZENAU,Niederösterreich
34,1903,SCHWARZENAU,Niederösterreich
35,1910,STIFT ZWETTL,Niederösterreich
36,1920,STIFT ZWETTL,Niederösterreich
37,2100,ALTENBURG,Niederösterreich
38,2110,HORN,Niederösterreich
39,2112,MOERTERSDORF,Niederösterreich
40,2113,HORN,Niederösterreich
41,2114,HORN,Niederösterreich
42,2115,GARS/KAMP,Niederösterreich
43,2201,HOLLABRUNN/SCHOENGRABERN NORD,Niederösterreich
44,2203,HOLLABRUNN,Niederösterreich
45,2207,SCHOENGRABERN,Niederösterreich
46,2211,RAVELSBACH,Niederösterreich
47,2230,PILLERSDORF/OEHLBERG,Niederösterreich
48,2300,BERGAU,Niederösterreich
49,2310,WULZESHOFEN,Niederösterreich
50,2400,LAA/THAYA,Niederösterreich
51,2401,LAA/TH.KLAERANLAGE,Niederösterreich
52,2410,OBERLEIS,Niederösterreich
53,2422,MISTELBACH AN DER ZAYA,Niederösterreich
54,2430,MISTELBACH,Niederösterreich
55,2500,POYSDORF,Niederösterreich
56,2502,POYSDORF,Niederösterreich
57,2503,POYSDORF-OST,Niederösterreich
58,2510,WILFERSDORF,Niederösterreich
59,2600,HOHENAU/MARCH,Niederösterreich
60,2601,HOHENAU,Niederösterreich
61,2902,REICHERSBERG,Oberösterreich
62,2910,SCHAERDING,Oberösterreich
63,3110,WAIZENKIRCHEN,Oberösterreich
64,3111,WAIZENKIRCHEN,Oberösterreich
65,3120,ASCHACH,Oberösterreich
66,3200,LINZ/STADT,Oberösterreich
67,3202,LINZ-STADT,Oberösterreich
68,3210,REICHENAU-OOE.,Oberösterreich
69,3215,OBERNEUKIRCHEN,Oberösterreich
70,3252,LINZ-MUSEUMSTR.,Oberösterreich
71,3253,LINZ-URFAHR,Oberösterreich
72,3266,LINZ/PETRIUM,Oberösterreich
73,3267,LINZ/FLUGPLATZ,Oberösterreich
74,3269,LINZ/WIRTSCHAFTSHOF,Oberösterreich
75,3400,ALLERHEILIGEN,Oberösterreich
76,3410,PABNEUKIRCHEN,Oberösterreich
77,3425,BAD ZELL,Oberösterreich
78,3500,KOENIGSWIESEN,Oberösterreich
79,3501,KOENIGSWIESEN,Oberösterreich
80,3510,ZILLECK,Niederösterreich
81,3520,BAERNKOPF,Niederösterreich
82,3600,GUTENBRUNN-MARTINSBERG,Niederösterreich
83,3601,GUTENBRUNN,Niederösterreich
84,3605,MARTINSBERG,Niederösterreich
85,3700,JAUERLING,Niederösterreich
86,3801,KREMS,Niederösterreich
87,4081,LANGENLEBARN,Niederösterreich
88,4120,WIEN-STREBERSDORF,Wien
89,4501,BRAUNAU/RANSHOFEN,Oberösterreich
90,4515,OSTERMIETHING,Oberösterreich
91,4610,MATTIGHOFEN,Oberösterreich
92,4611,MATTIGHOFEN,Oberösterreich
93,4705,RIED IM INNKREIS,Oberösterreich
94,4800,GALLSPACH,Oberösterreich
95,4810,WOLFSEGG,Oberösterreich
96,4815,WOLFSEGG,Oberösterreich
97,4821,VOECKLABRUCK,Oberösterreich
98,4900,LAMBACH,Oberösterreich
99,4905,WELS-SCHLEISSHEIM,Oberösterreich
100,5000,HOERSCHING,Oberösterreich
101,5010,KREMSMUENSTER,Oberösterreich
102,5012,KREMSMUENSTER (TAWES),Oberösterreich
103,5101,ENNS,Oberösterreich
104,5110,STEYR,Oberösterreich
105,5111,STEYR-STADTGUT,Oberösterreich
106,5112,WACHTBERG/STEYR,Niederösterreich
107,5116,WACHTBERG BEI STEYR,Niederösterreich
108,5130,ENNS,Oberösterreich
109,5200,HAAG,Oberösterreich
110,5300,AMSTETTEN-GIESSHUEBL,Niederösterreich
111,5301,AMSTETTEN,Niederösterreich
112,5304,AMSTETTEN/GREINSFURTH,Niederösterreich
113,5310,RANDEGG,Niederösterreich
114,5311,RANDEGG,Niederösterreich
115,5315,AMSTETTEN/KLAERANLAGE,Niederösterreich
116,5316,AMSTETTEN,Niederösterreich
117,5320,YBBS/PERSENBEUG,Niederösterreich
118,5400,MELK,Niederösterreich
119,5410,OBERNDORF/MELK,Niederösterreich
120,5412,OBERNDORF/MELK,Niederösterreich
